"","RN_7","RN_15","RN_5","RN_17","RN_13","RN_9","RN_20","RN_16","RN_8","RN_3","RN_12","RN_14","RN_6","RN_10","RN_11","RN_2","RN_19","RN_18","RN_1","RN_4"
"FEAT_508",-2.40602301324787,-2.65446622709526,-2.50642233170889,-1.99941545652045,-2.37585724437057,-2.00011424120376,-2.32941398966986,-2.34925131951472,-2.03644794804553,-2.23964004386118,-2.41653344652221,-2.39886479814939,-2.4502682254797,-2.35642896825205,-2.23422119335261,-2.46999597956421,-2.54134513383692,-2.2551649026413,-2.21062534787561,-2.29348787016465
"FEAT_6",-3.81340396673041,-3.30971800902705,-0.143878247303518,-2.06810260203479,-4.57300586330427,-3.62351574149055,-0.304288227355071,-3.38587501166722,-4.08727465954514,-5.15904841219171,-5.2576216100173,-4.06173830720991,-5.0207815621365,-0.423835921396438,-5.99800961793094,-0.575727692412688,-3.53356334821451,-0.632244361612046,-5.78227445203627,-3.7240982456566
"FEAT_242",-2.22512738905769,-2.93516260575169,-2.81037374517393,-1.51917561852478,-3.14625710413328,-2.65137822402144,-2.60467017213864,-2.43786114391819,-2.21494480559644,-3.31967753517837,-2.8427488285928,-2.12495827043082,-3.1879646573634,-2.6781162350314,-2.98580478832208,-2.68992803895718,-4.08360020161794,-0.835924865552881,-2.79400502237549,-3.20155415646308
"FEAT_305",-3.91193468492134,-4.75189093853369,-3.67281709124506,-0.727199316014404,-5.10261506648289,-3.90827270815959,-5.14430989962765,-4.24792751344359,-1.52770279068325,-3.97267939400049,-4.57691636352285,-2.25476389833425,-4.32927223689113,-3.93951088062417,-4.42173659276604,-4.0488256849406,-4.7292425916762,-1.2774579461731,-3.7398337761067,-4.81964242514808
"FEAT_655",-2.62313903222924,-2.36306809904884,-1.88322791783415,-0.370045824698548,-2.12333987757894,-1.74518280365006,-2.71964901871573,-2.09467398001483,-1.03951255876651,-2.57883639792431,-2.44837178626513,-0.943965965085672,-2.68566984848099,-2.56365530753926,-1.78854804449419,-3.08159070438723,-2.44807601433613,0.102437262080528,-1.64591734662472,-2.85718945079954
"FEAT_907",-1.93506912892011,-2.70616509769575,-2.2146318053077,-0.344791005409729,-2.53226960688097,-2.62054077071062,-2.82011627424759,-2.4700267338765,-2.01688901370515,-2.45059386868789,-3.48882540363211,-1.56864650643496,-3.52152064685067,-2.44817978390147,-1.63780928769021,-2.60375490848152,-2.13595188108885,-0.153506960625718,-2.14364567664346,-2.67682716091914
"FEAT_761",1.36926354645171,2.06486779040225,1.84246549977714,2.20865216213803,1.46960131153362,1.84212034021828,1.32030827906478,0.567930547419281,1.72411162883872,1.44154470330387,-0.657664866773906,2.19542871164294,2.73868534051467,0.90909513963973,0.0954495428459981,0.340379922951046,1.84207661465823,1.76408442122923,0.816937225577435,2.32388013254599
"FEAT_400",-2.74236432288131,-2.62229381846978,-2.42090754453259,-0.447689996255133,-2.74653035706417,-2.4834301796667,-2.5206380111156,-2.36470841373155,-1.17496391877633,-2.47098285373097,-2.57852341620633,-0.905469701756084,-2.59302520812114,-2.57052968240755,-2.37568047115977,-2.15224416538828,-2.43652121259076,-0.192127616031641,-2.07095260237681,-2.74985621760201
"FEAT_276",-3.08877311344609,-4.26220751889753,-4.28344892881974,-1.40170346961195,-4.0430753852256,-3.80964056106687,-3.7376944770649,-4.23504565275011,-2.44546595288087,-4.17989231146716,-4.53532418750067,-1.58818910545641,-3.9304557536758,-3.75260857191871,-3.9330770964943,-3.8342276469754,-3.69184802413485,-0.997406250351504,-3.51593012671895,-4.05573886420235
"FEAT_966",2.6307517955562,2.27462238010901,2.85763548080646,2.06685801277327,2.25167127021436,3.36702766610983,2.8717341501949,1.62488695320813,2.32630834816936,2.83448450963025,-0.0563536351237666,2.19655427502574,2.87464491698306,2.60080159318737,1.76136693765634,2.63101229385743,2.28554982575838,1.803300321817,3.08369377475563,3.10901062191871
